"Statistic","Year","Area of Origin","UNIT","VALUE"
"Consumption Goods","1943","All Countries","Euro Thousand",""
"Consumption Goods","1943","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1943","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1943","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1944","All Countries","Euro Thousand",""
"Consumption Goods","1944","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1944","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1944","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1945","All Countries","Euro Thousand",""
"Consumption Goods","1945","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1946","All Countries","Euro Thousand",""
"Consumption Goods","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1947","All Countries","Euro Thousand",""
"Consumption Goods","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1948","All Countries","Euro Thousand","48647"
"Consumption Goods","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1949","All Countries","Euro Thousand","44686"
"Consumption Goods","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1950","All Countries","Euro Thousand","51563"
"Consumption Goods","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1951","All Countries","Euro Thousand","72709"
"Consumption Goods","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1952","All Countries","Euro Thousand","53786"
"Consumption Goods","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1953","All Countries","Euro Thousand","57447"
"Consumption Goods","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1954","All Countries","Euro Thousand","55931"
"Consumption Goods","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1955","All Countries","Euro Thousand","65397"
"Consumption Goods","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1956","All Countries","Euro Thousand","52063"
"Consumption Goods","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1957","All Countries","Euro Thousand","52873"
"Consumption Goods","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1958","All Countries","Euro Thousand","55811"
"Consumption Goods","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1959","All Countries","Euro Thousand","57127"
"Consumption Goods","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1960","All Countries","Euro Thousand","60422"
"Consumption Goods","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1961","All Countries","Euro Thousand","68857"
"Consumption Goods","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1961","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1962","All Countries","Euro Thousand","72842"
"Consumption Goods","1962","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1962","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1962","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1963","All Countries","Euro Thousand","82769"
"Consumption Goods","1963","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1963","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1963","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1964","All Countries","Euro Thousand","90360"
"Consumption Goods","1964","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1964","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1964","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1965","All Countries","Euro Thousand","101621"
"Consumption Goods","1965","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1965","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1965","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1966","All Countries","Euro Thousand","106857"
"Consumption Goods","1966","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1966","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1966","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1967","All Countries","Euro Thousand","111552"
"Consumption Goods","1967","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1967","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1967","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1968","All Countries","Euro Thousand","147207"
"Consumption Goods","1968","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1968","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1968","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1969","All Countries","Euro Thousand","171234"
"Consumption Goods","1969","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1969","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1969","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1970","All Countries","Euro Thousand","194637"
"Consumption Goods","1970","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1970","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1970","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1971","All Countries","Euro Thousand","218352"
"Consumption Goods","1971","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1971","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1971","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1972","All Countries","Euro Thousand","276164"
"Consumption Goods","1972","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods","1972","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1972","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods","1973","All Countries","Euro Thousand","349408"
"Consumption Goods","1973","European Union - 27 countries (from 2020)","Euro Thousand",""
